Mass Bins,Sim_10000_mean_low,Sim_10000_mean_med,Sim_10000_mean_high,Sim_1000_mean_low,Sim_1000_mean_med,Sim_1000_mean_high,Sim_100_mean_low,Sim_100_mean_med,Sim_100_mean_high
1,,,,,,,,,
2,,,,,,,,,
3,,,,,,,,,
4,,,,,,,,,
5,,,,,,,,,
6,,,,,,,,,
7,,,,,,,,,
8,1.92E-14,7.47E-15,2.38E-15,,,,7.96E-10,3.11E-10,9.98E-11
9,1.69E+00,7.40E-01,2.69E-01,2.19E+00,9.57E-01,3.48E-01,3.25E+00,1.411687106,0.511622606
10,1.61E+01,7.86E+00,3.26E+00,1.94E+01,9.50E+00,3.94E+00,2.21E+01,10.75660489,4.451629055
11,4.77E+01,2.66E+01,1.29E+01,5.66E+01,3.16E+01,1.52E+01,6.17E+01,34.38210102,16.59343885
12,1.44E+02,9.20E+01,5.20E+01,1.65E+02,1.06E+02,5.98E+01,1.79E+02,114.5544295,64.73365525
13,4.99E+02,3.66E+02,2.42E+02,5.68E+02,4.17E+02,2.76E+02,6.44E+02,472.3592203,312.3698065
14,1.73E+03,1.45E+03,1.12E+03,1.94E+03,1.62E+03,1.25E+03,1.94E+03,1626.177118,1249.742226
15,4.97E+03,4.76E+03,4.27E+03,5.42E+03,5.20E+03,4.67E+03,5.28E+03,5057.0323,4543.912749
16,1.27E+04,1.39E+04,1.46E+04,1.39E+04,1.53E+04,1.60E+04,1.39E+04,15240.02504,15963.44252
17,3.03E+04,3.79E+04,4.62E+04,3.18E+04,3.97E+04,4.84E+04,3.07E+04,38352.49318,46735.59882
18,5.81E+04,8.33E+04,1.19E+05,5.83E+04,8.35E+04,1.19E+05,5.53E+04,79094.54158,112657.0795
19,1.53E+05,2.51E+05,4.19E+05,1.44E+05,2.37E+05,3.95E+05,1.34E+05,220135.925,367410.8277
20,4.45E+05,8.38E+05,1.64E+06,4.13E+05,7.78E+05,1.52E+06,2.63E+05,488614.8779,939190.6861
21,1.39E+06,3.00E+06,6.83E+06,1.22E+06,2.63E+06,5.99E+06,3.59E+05,769311.1187,1740945.044
22,3.02E+06,7.39E+06,1.95E+07,1.72E+06,4.15E+06,1.08E+07,2.60E+05,618539.1144,1578745.207
23,3.96E+06,1.10E+07,3.38E+07,2.16E+04,5.73E+04,1.65E+05,9.17E+03,24264.02038,69859.66653
24,2.26E+06,7.10E+06,2.49E+07,,,,,,
25,1.03E+05,3.56E+05,1.38E+06,,,,,,