Mass Bin,Sim_10000_end_a,Sim_10000_end_b,Sim_10000_end_c,Sim_10000_end_d,Sim_10000_end_e,Sim_10000_end_mean,,,,Sim_10000_ect_a,Sim_10000_ect_b,Sim_10000_ect_c,Sim_10000_ect_d,Sim_10000_ect_e,Sim_10000_ect_mean,,,,Sim_10000_met_mean
1,,,,,,0,,,,1928521380,46784729153,22550597.79,2522.523062,5578816.014,9748276494,,,,9748276494
2,,,,,,0,,,,5.24E+12,3.25E+12,3.70E+12,2.44E+12,3.46E+12,3.62E+12,,,,3.62E+12
3,,,,,,0,,,,3.68E+13,4.17E+13,3.48E+13,2.80E+13,3.25E+13,3.47E+13,,,,3.47E+13
4,,,,,,0,,,,8.69E+13,8.38E+13,7.16E+13,9.16E+13,1.03E+14,8.75E+13,,,,8.75E+13
5,,,,,,0,,,,8.12E+13,1.11E+14,7.77E+13,8.99E+13,8.60E+13,8.91E+13,,,,8.91E+13
6,,,,,,0,,,,6.73E+13,8.46E+13,6.80E+13,6.24E+13,7.42E+13,7.13E+13,,,,7.13E+13
7,,,,,,0,,,,6.33E+13,6.02E+13,5.50E+13,4.86E+13,5.54E+13,5.65E+13,,,,5.65E+13
8,5.13E-01,,,,,0.513299126,,,,5.88E+13,6.02E+13,5.72E+13,5.81E+13,4.90E+13,5.67E+13,,,,5.67E+13
9,2.00E+13,2.18E+13,2.18E+13,2.49E+13,1.96E+13,2.16E+13,,,,3.59E+13,2.57E+13,2.64E+13,2.81E+13,2.11E+13,2.74E+13,,,,4.91E+13
10,9.57E+13,9.88E+13,9.80E+13,1.06E+14,1.00E+14,9.97E+13,,,,8.25E+12,6.23E+12,9.17E+12,7.36E+12,8.32E+12,7.87E+12,,,,1.08E+14
11,1.13E+14,1.21E+14,1.13E+14,1.22E+14,1.24E+14,1.19E+14,,,,4.19E+12,4.06E+12,3.94E+12,4.14E+12,4.25E+12,4.12E+12,,,,1.23E+14
12,1.35E+14,1.43E+14,1.35E+14,1.42E+14,1.43E+14,1.40E+14,,,,4.63E+12,4.73E+12,4.73E+12,4.80E+12,4.95E+12,4.77E+12,,,,1.45E+14
13,1.83E+14,1.97E+14,1.86E+14,1.96E+14,1.92E+14,1.91E+14,,,,5.96E+12,6.09E+12,6.04E+12,6.19E+12,6.37E+12,6.13E+12,,,,1.97E+14
14,2.56E+14,2.75E+14,2.61E+14,2.71E+14,2.74E+14,2.67E+14,,,,6.23E+12,6.37E+12,6.44E+12,6.43E+12,6.68E+12,6.43E+12,,,,2.74E+14
15,2.94E+14,3.19E+14,2.85E+14,2.97E+14,3.05E+14,3.00E+14,,,,6.09E+12,6.19E+12,6.30E+12,6.17E+12,6.36E+12,6.22E+12,,,,3.06E+14
16,2.83E+14,3.10E+14,2.95E+14,2.94E+14,3.07E+14,2.98E+14,,,,4.78E+12,4.96E+12,4.83E+12,4.88E+12,4.86E+12,4.86E+12,,,,3.03E+14
17,2.72E+14,2.95E+14,2.99E+14,3.07E+14,3.02E+14,2.95E+14,,,,4.17E+12,4.37E+12,4.27E+12,4.38E+12,4.22E+12,4.28E+12,,,,2.99E+14
18,2.30E+14,2.44E+14,2.43E+14,2.46E+14,2.36E+14,2.40E+14,,,,4.23E+12,4.33E+12,4.28E+12,4.27E+12,4.30E+12,4.28E+12,,,,2.44E+14
19,2.64E+14,2.56E+14,2.60E+14,2.50E+14,2.58E+14,2.58E+14,,,,4.95E+12,4.95E+12,4.57E+12,4.74E+12,4.95E+12,4.83E+12,,,,2.62E+14
20,3.21E+14,2.96E+14,3.10E+14,2.91E+14,3.00E+14,3.04E+14,,,,5.27E+12,5.45E+12,4.82E+12,5.35E+12,5.23E+12,5.23E+12,,,,3.09E+14
21,4.18E+14,3.74E+14,3.98E+14,3.62E+14,3.79E+14,3.86E+14,,,,5.87E+12,5.67E+12,6.23E+12,5.82E+12,5.20E+12,5.75E+12,,,,3.92E+14
22,3.86E+14,3.58E+14,3.75E+14,3.50E+14,3.46E+14,3.63E+14,,,,4.98E+12,4.85E+12,5.16E+12,4.13E+12,4.29E+12,4.68E+12,,,,3.68E+14
23,2.14E+14,1.91E+14,2.06E+14,2.10E+14,2.00E+14,2.04E+14,,,,2.20E+12,2.27E+12,1.93E+12,2.28E+12,2.10E+12,2.16E+12,,,,2.06E+14
24,5.72E+13,4.85E+13,5.31E+13,5.50E+13,5.30E+13,5.34E+13,,,,,,,,,0,,,,5.34E+13
25,1.20E+12,1.21E+12,1.32E+12,1.68E+12,1.27E+12,1.34E+12,,,,,,,,,0,,,,1.34E+12
,,,,,,,,,,,,,,,,,,,
Mass Bin,Sim_1000_end_a,Sim_1000_end_b,Sim_1000_end_c,Sim_1000_end_d,Sim_1000_end_e,Sim_1000_end_mean,,,,Sim_1000_ect_a,Sim_1000_ect_b,Sim_1000_ect_c,Sim_1000_ect_d,Sim_1000_ect_e,Sim_1000_ect_mean,,,,Sim_1000_met_mean
1,,,,,,0,,,,5724243.641,140783908.7,138546.8146,30580205.42,111522469.7,57749874.85,,,,57749874.85
2,,,,,,0,,,,1.68E+12,5.92E+12,3.32E+12,3.80E+12,2.89E+12,3.52E+12,,,,3.52E+12
3,,,,,,0,,,,4.01E+13,3.37E+13,3.37E+13,5.11E+13,4.12E+13,4.00E+13,,,,4.00E+13
4,,,,,,0,,,,1.06E+14,8.91E+13,8.33E+13,1.09E+14,7.49E+13,9.25E+13,,,,9.25E+13
5,,,,,,0,,,,1.18E+14,1.05E+14,1.05E+14,1.14E+14,1.08E+14,1.10E+14,,,,1.10E+14
6,,,,,,0,,,,7.58E+13,7.55E+13,7.14E+13,5.93E+13,7.93E+13,7.23E+13,,,,7.23E+13
7,,,,,,0,,,,5.25E+13,6.86E+13,7.70E+13,5.05E+13,5.88E+13,6.15E+13,,,,6.15E+13
8,,,,,,0,,,,6.91E+13,6.56E+13,7.15E+13,5.72E+13,5.72E+13,6.41E+13,,,,6.41E+13
9,2.76E+13,2.85E+13,3.00E+13,3.16E+13,2.19E+13,2.79E+13,,,,3.59E+13,3.38E+13,2.97E+13,2.41E+13,2.44E+13,2.96E+13,,,,5.75E+13
10,1.23E+14,1.20E+14,1.24E+14,1.16E+14,1.17E+14,1.20E+14,,,,8.13E+12,7.35E+12,6.33E+12,9.12E+12,5.66E+12,7.32E+12,,,,1.28E+14
11,1.45E+14,1.43E+14,1.43E+14,1.36E+14,1.38E+14,1.41E+14,,,,4.54E+12,4.30E+12,4.80E+12,4.36E+12,4.36E+12,4.47E+12,,,,1.46E+14
12,1.65E+14,1.61E+14,1.62E+14,1.55E+14,1.60E+14,1.61E+14,,,,5.35E+12,5.17E+12,5.15E+12,4.96E+12,5.22E+12,5.17E+12,,,,1.66E+14
13,2.18E+14,2.17E+14,2.19E+14,2.17E+14,2.14E+14,2.17E+14,,,,6.42E+12,6.36E+12,6.39E+12,6.40E+12,6.38E+12,6.39E+12,,,,2.23E+14
14,3.02E+14,3.03E+14,3.05E+14,2.90E+14,2.95E+14,2.99E+14,,,,6.79E+12,6.83E+12,6.41E+12,6.50E+12,6.68E+12,6.64E+12,,,,3.05E+14
15,3.15E+14,3.19E+14,3.28E+14,3.20E+14,3.39E+14,3.24E+14,,,,6.33E+12,6.40E+12,5.93E+12,6.30E+12,6.26E+12,6.24E+12,,,,3.30E+14
16,3.07E+14,3.25E+14,3.14E+14,3.27E+14,3.53E+14,3.25E+14,,,,4.82E+12,4.77E+12,4.82E+12,5.11E+12,4.85E+12,4.87E+12,,,,3.30E+14
17,3.16E+14,3.15E+14,2.83E+14,3.15E+14,3.12E+14,3.08E+14,,,,4.21E+12,4.18E+12,4.25E+12,4.38E+12,4.16E+12,4.24E+12,,,,3.12E+14
18,2.46E+14,2.53E+14,2.25E+14,2.35E+14,2.37E+14,2.39E+14,,,,4.14E+12,4.19E+12,4.10E+12,4.25E+12,4.12E+12,4.16E+12,,,,2.44E+14
19,2.37E+14,2.44E+14,2.48E+14,2.34E+14,2.48E+14,2.42E+14,,,,4.87E+12,4.94E+12,4.63E+12,4.62E+12,4.62E+12,4.74E+12,,,,2.47E+14
20,2.77E+14,2.75E+14,2.90E+14,2.77E+14,2.89E+14,2.82E+14,,,,5.35E+12,5.21E+12,4.74E+12,4.99E+12,5.17E+12,5.09E+12,,,,2.87E+14
21,3.41E+14,3.38E+14,3.58E+14,3.30E+14,3.44E+14,3.42E+14,,,,5.75E+12,5.37E+12,5.40E+12,5.31E+12,5.36E+12,5.44E+12,,,,3.48E+14
22,2.25E+14,2.11E+14,2.34E+14,2.17E+14,2.32E+14,2.23E+14,,,,4.13E+12,4.30E+12,4.52E+12,4.80E+12,4.70E+12,4.49E+12,,,,2.28E+14
23,1.17E+12,1.07E+12,1.21E+12,1.22E+12,1.53E+12,1.24E+12,,,,1.54E+12,2.10E+12,1.71E+12,1.92E+12,1.92E+12,1.84E+12,,,,3.08E+12
24,,,,,,0,,,,,,,,,0,,,,0
25,,,,,,0,,,,,,,,,0,,,,0
,,,,,,,,,,,,,,,,,,,
Mass Bin,Sim_100_a,Sim_100_b,Sim_100_c,Sim_100_d,Sim_100_e,Sim_100_mean,,,,Sim_100_ect_a,Sim_100_ect_b,Sim_100_ect_c,Sim_100_ect_d,Sim_100_ect_e,Sim_100_ect_mean,,,,Sim_100_met_mean
1,,,,,,0.00E+00,,,,59697.7605,1.70E+11,394839121.6,77984.52915,81311917.93,34174457744,,,,3.42E+10
2,,,,,,0.00E+00,,,,3.15E+12,2.35E+12,2.89E+12,2.07E+12,4.89E+12,3.07E+12,,,,3.07E+12
3,,,,,,0.00E+00,,,,3.30E+13,4.96E+13,3.57E+13,4.76E+13,5.17E+13,4.35E+13,,,,4.35E+13
4,,,,,,0.00E+00,,,,9.92E+13,1.27E+14,1.07E+14,9.62E+13,1.03E+14,1.06E+14,,,,1.06E+14
5,,,,,,0.00E+00,,,,1.36E+14,1.21E+14,1.17E+14,1.04E+14,1.07E+14,1.17E+14,,,,1.17E+14
6,,,,,,0.00E+00,,,,8.18E+13,9.25E+13,7.95E+13,7.12E+13,6.57E+13,7.81E+13,,,,7.81E+13
7,,,,,,0.00E+00,,,,7.55E+13,8.35E+13,6.91E+13,6.91E+13,8.16E+13,7.58E+13,,,,7.58E+13
8,0.692466478,33469.06752,2071.599376,,11939.33931,1.19E+04,,,,7.19E+13,5.27E+13,5.90E+13,5.59E+13,5.67E+13,5.92E+13,,,,5.92E+13
9,4.12E+13,4.48E+13,3.91E+13,4.40E+13,3.86E+13,4.15E+13,,,,3.04E+13,2.05E+13,3.11E+13,2.37E+13,3.73E+13,2.86E+13,,,,7.01E+13
10,1.28E+14,1.34E+14,1.38E+14,1.39E+14,1.34E+14,1.35E+14,,,,8.05E+12,7.16E+12,7.38E+12,9.23E+12,8.48E+12,8.06E+12,,,,1.43E+14
11,1.38E+14,1.50E+14,1.56E+14,1.52E+14,1.50E+14,1.49E+14,,,,4.12E+12,4.09E+12,4.76E+12,4.89E+12,4.48E+12,4.47E+12,,,,1.54E+14
12,1.54E+14,1.73E+14,1.76E+14,1.68E+14,1.67E+14,1.67E+14,,,,4.89E+12,4.91E+12,5.00E+12,5.12E+12,5.14E+12,5.01E+12,,,,1.72E+14
13,2.27E+14,2.45E+14,2.47E+14,2.40E+14,2.42E+14,2.40E+14,,,,5.97E+12,5.85E+12,6.18E+12,6.25E+12,6.37E+12,6.13E+12,,,,2.46E+14
14,2.82E+14,2.94E+14,2.99E+14,2.97E+14,3.11E+14,2.97E+14,,,,5.63E+12,5.61E+12,5.81E+12,5.93E+12,5.89E+12,5.77E+12,,,,3.03E+14
15,2.92E+14,3.10E+14,3.10E+14,3.01E+14,3.15E+14,3.06E+14,,,,5.08E+12,5.12E+12,5.18E+12,5.31E+12,5.06E+12,5.15E+12,,,,3.11E+14
16,3.31E+14,3.24E+14,3.17E+14,3.15E+14,3.30E+14,3.23E+14,,,,4.38E+12,4.32E+12,4.35E+12,4.39E+12,4.42E+12,4.37E+12,,,,3.28E+14
17,3.37E+14,2.85E+14,2.84E+14,3.12E+14,3.26E+14,3.09E+14,,,,4.10E+12,3.81E+12,4.13E+12,4.13E+12,4.50E+12,4.13E+12,,,,3.13E+14
18,2.51E+14,2.14E+14,2.27E+14,2.38E+14,2.47E+14,2.35E+14,,,,4.24E+12,3.96E+12,4.35E+12,4.33E+12,4.86E+12,4.35E+12,,,,2.40E+14
19,2.34E+14,2.17E+14,2.24E+14,2.21E+14,2.42E+14,2.27E+14,,,,4.74E+12,5.08E+12,5.02E+12,5.09E+12,5.32E+12,5.05E+12,,,,2.33E+14
20,1.97E+14,1.92E+14,1.96E+14,1.83E+14,1.95E+14,1.93E+14,,,,5.48E+12,6.07E+12,5.37E+12,5.76E+12,5.68E+12,5.67E+12,,,,1.98E+14
21,1.06E+14,9.56E+13,9.56E+13,9.57E+13,9.70E+13,9.80E+13,,,,5.93E+12,5.54E+12,5.75E+12,5.41E+12,6.44E+12,5.81E+12,,,,1.04E+14
22,3.46E+13,3.21E+13,3.55E+13,3.21E+13,3.57E+13,3.40E+13,,,,3.73E+12,3.02E+12,3.55E+12,3.35E+12,4.44E+12,3.62E+12,,,,3.76E+13
23,6.31E+11,4.39E+11,5.94E+11,4.15E+11,8.48E+11,5.85E+11,,,,8.47E+11,9.94E+11,9.25E+11,9.96E+11,9.38E+11,9.40E+11,,,,1.53E+12
24,,,,,,0.00E+00,,,,,,,,,0,,,,0.00E+00
25,,,,,,0.00E+00,,,,,,,,,0,,,,0.00E+00
